lon,lat,depth,dFe_obs
142.27,30.006,18.8,0.5
142.27,30.006,39.3,0.31
142.27,30.006,59.3,0.29
142.27,30.006,78.4,0.27
142.27,30.007,100.2,0.32
142.26,30.007,125.3,0.46
142.26,30.007,150.6,0.63
142.26,30.007,200.3,0.65
142.26,30.007,251.5,0.62
142.26,30.007,503.0,0.69
142.26,30.006,703.7,0.75
142.26,30.005,1006.3,0.85
143.18,30.0,15.8,0.49
143.18,30.0,39.1,0.28
143.18,30.0,63.5,0.31
143.18,30.0,83.6,0.33
143.18,30.0,105.6,0.5
143.18,30.0,135.6,0.48
143.18,30.0,186.2,0.69
143.18,30.0,234.7,0.61
143.18,30.0,285.4,0.63
143.18,30.0,460.4,0.65
143.18,30.0,673.6,0.77
143.18,30.0,977.0,0.96
144.32,29.996,16.8,0.46
144.32,29.996,34.3,0.34
144.32,29.996,49.6,0.3
144.32,29.996,70.1,0.28
144.32,29.996,89.7,0.42
144.32,29.996,119.5,0.58
144.32,29.996,169.9,0.44
144.32,29.996,221.3,0.45
144.33,29.996,270.8,0.51
144.33,29.996,441.8,0.63
144.33,29.996,643.2,0.58
144.33,29.997,946.2,0.75
145.48,30.013,14.8,0.7
145.49,30.013,38.6,0.24
145.49,30.013,58.6,0.25
145.49,30.012,79.7,0.25
145.49,30.012,100.9,0.27
145.49,30.012,124.4,0.34
145.49,30.012,150.1,0.38
145.49,30.011,201.1,0.51
145.49,30.011,251.7,0.48
145.49,30.01,502.5,0.54
145.49,30.009,705.1,0.45
145.49,30.007,1008.5,0.79
146.67,29.981,16.9,0.31
146.67,29.981,43.4,0.25
146.67,29.981,67.6,0.22
146.67,29.982,87.7,0.22
146.67,29.982,107.9,0.31
146.67,29.982,138.7,0.47
146.67,29.983,188.3,0.49
146.67,29.983,238.5,0.48
146.67,29.983,288.9,0.49
146.67,29.985,465.3,0.63
146.67,29.986,676.2,0.74
146.67,29.987,978.8,0.94
147.96,30.004,18.1,0.44
147.96,30.004,36.5,0.25
147.96,30.005,52.3,0.22
147.96,30.005,73.0,0.2
147.96,30.005,93.6,0.25
147.96,30.005,121.8,0.22
147.96,30.005,173.6,0.33
147.96,30.005,222.1,0.33
147.96,30.005,273.4,0.41
147.96,30.005,443.8,0.44
147.96,30.005,645.1,0.52
147.96,30.004,947.3,0.74
149.26,29.992,15.7,0.49
149.26,29.992,38.6,0.24
149.26,29.992,58.6,0.22
149.26,29.992,81.0,0.2
149.26,29.992,103.9,0.27
149.26,29.992,128.2,0.31
149.26,29.992,152.1,0.31
149.26,29.992,202.4,0.37
149.26,29.992,252.4,0.41
149.26,29.993,502.3,0.47
149.26,29.993,708.1,0.49
149.26,29.994,1006.5,0.61
152.4,30.0,18.7,0.26
152.4,30.0,33.9,0.16
152.4,30.0,49.4,0.17
152.4,30.0,73.5,0.15
152.4,30.0,92.8,0.2
152.4,30.0,119.2,0.2
152.4,30.0,169.2,0.31
152.4,30.0,221.9,0.36
152.4,30.0,269.8,0.42
152.4,30.0,440.3,0.51
152.4,30.0,646.0,0.58
152.4,30.0,943.6,0.83
153.91,29.995,21.0,0.33
153.91,29.995,39.6,0.2
153.91,29.995,57.3,0.2
153.91,29.995,80.6,0.2
153.91,29.995,94.5,0.23
153.91,29.995,124.6,0.28
153.91,29.995,152.2,0.43
153.91,29.995,202.6,0.35
153.91,29.995,251.4,0.48
153.91,29.995,503.7,0.49
153.91,29.995,706.9,0.69
153.91,29.995,1009.0,0.78
156.85,29.999,17.2,0.44
156.85,29.999,33.8,0.3
156.85,29.999,49.9,0.29
156.85,29.999,70.2,0.33
156.85,29.999,89.2,0.48
